oldname,name,group_name,value
USA,USA (1.8),Countries,1.8
Portland,Portland (1.49),US Cities,1.49
Staten Island,Staten Island (1.49),NYC Boros,1.49
Seattle,Seattle (1.39),US Cities,1.39
San Francisco,San Francisco (1.1),US Cities,1.1
Boston,Boston (0.94),US Cities,0.94
Queens,Queens (0.92),NYC Boros,0.92
Washington DC,Washingtn DC (0.86),US Cities,0.86
New York City,New York City (0.63),US Cities,0.63
Brooklyn,Brooklyn (0.57),NYC Boros,0.57
Bronx,Bronx (0.55),NYC Boros,0.55
Manhattan,Manhattan (0.26),NYC Boros,0.26
